timestamp,x,y,z
21.931,0.0000,0.0000,0.0000
22.000,0.0000,0.0000,0.0000
22.079,0.0000,0.0000,0.0000
22.140,0.0000,0.0000,0.0000
22.203,0.0000,0.0000,0.0000
22.275,0.0000,0.0000,0.0000
22.342,0.0000,0.0000,0.0000
22.406,0.0000,0.0000,0.0000
22.479,0.0000,0.0000,0.0000
22.575,0.0000,0.0000,0.0000
22.643,0.0000,0.0000,0.0000
22.709,0.0000,0.0000,0.0000
22.782,0.0000,0.0000,0.0000
22.855,0.0000,0.0000,0.0000
22.919,0.0000,0.0000,0.0000
22.983,0.0000,0.0000,0.0000
23.046,0.0000,0.0000,0.0000
23.115,0.0000,0.0000,0.0000
23.179,0.0000,0.0000,0.0000
23.244,0.0000,0.0000,0.0000
23.305,0.0000,0.0000,0.0000
23.378,0.0000,0.0000,0.0000
23.448,0.0000,0.0000,0.0000
23.513,0.0000,0.0000,0.0000
23.592,0.0000,0.0000,0.0000
23.660,0.0000,0.0000,0.0000
23.720,0.0000,0.0000,0.0000
23.782,0.0000,0.0000,0.0000
24.367,-0.2666,0.0411,-0.9629
24.470,-0.4497,0.1196,-1.9429
24.945,-0.2721,0.0515,-0.9611
25.006,0.4764,0.3826,-1.5357
25.086,0.4764,0.3826,-1.5357
25.267,0.7311,-0.5292,-1.8577
25.357,0.9148,-1.0641,-2.6824
25.506,1.2548,-1.6806,-3.3926
25.556,1.6794,-2.4861,-3.8059
25.640,1.6404,-2.9820,-4.6734
25.687,1.8945,-3.4945,-5.4937
25.736,1.1723,-3.1192,-6.0747
25.789,1.1723,-3.1192,-6.0747
25.844,1.1723,-3.1192,-6.0747
25.894,1.1723,-3.1192,-6.0747
25.942,1.1723,-3.1192,-6.0747
25.991,1.1723,-3.1192,-6.0747
26.045,1.1723,-3.1192,-6.0747
26.095,1.1723,-3.1192,-6.0747
26.157,1.1723,-3.1192,-6.0747
26.221,1.1723,-3.1192,-6.0747
26.289,1.1723,-3.1192,-6.0747
26.355,1.1723,-3.1192,-6.0747
26.419,1.1723,-3.1192,-6.0747
26.490,1.1723,-3.1192,-6.0747
26.553,1.1723,-3.1192,-6.0747
26.621,1.1723,-3.1192,-6.0747
26.679,1.1723,-3.1192,-6.0747
26.751,1.1723,-3.1192,-6.0747
26.826,1.1723,-3.1192,-6.0747
26.879,1.1723,-3.1192,-6.0747
26.947,1.1723,-3.1192,-6.0747
27.013,1.1723,-3.1192,-6.0747
27.086,1.1723,-3.1192,-6.0747
27.152,1.1723,-3.1192,-6.0747
27.209,1.1723,-3.1192,-6.0747
27.282,1.1723,-3.1192,-6.0747
27.349,1.1723,-3.1192,-6.0747
27.414,1.1723,-3.1192,-6.0747
27.481,1.1723,-3.1192,-6.0747
27.544,1.1723,-3.1192,-6.0747
27.619,1.1723,-3.1192,-6.0747
27.674,1.1723,-3.1192,-6.0747
27.746,1.1723,-3.1192,-6.0747
27.807,1.1723,-3.1192,-6.0747
27.883,1.1723,-3.1192,-6.0747
27.943,1.1723,-3.1192,-6.0747
28.009,1.1723,-3.1192,-6.0747
28.082,1.1723,-3.1192,-6.0747
28.147,1.1723,-3.1192,-6.0747
28.209,1.1723,-3.1192,-6.0747
28.285,1.1723,-3.1192,-6.0747
28.331,1.1723,-3.1192,-6.0747
28.402,1.1723,-3.1192,-6.0747
28.463,1.1723,-3.1192,-6.0747
28.558,1.1027,-2.8627,-5.1107
28.618,1.4227,-3.1176,-4.1982
28.684,1.4730,-3.0131,-3.2049
28.749,1.1320,-2.7611,-2.2993
28.828,1.3813,-2.3564,-1.4195
28.913,0.4028,-2.2317,-1.2554
